country,region,income,gdp,population
Madagascar,SSF,Low,1565.866943359375,24894552
Maldives,SAS,Upper Middle,17284.609375,409163
Mexico,LCN,Upper Middle,19332.07421875,125890952
Marshall Islands,EAS,Upper Middle,3628.895263671875,52793
"Macedonia, FYR",ECS,Upper Middle,16147.7294921875,2082958
Mali,SSF,Low,2007.8060302734373,16006670
Malta,MEA,High,43707.5390625,502653
Myanmar,EAS,Lower Middle,1093.7880859375,46095464
Montenegro,ECS,Upper Middle,20752.62109375,622227
Mongolia,EAS,Lower Middle,10940.4150390625,3027398
Northern Mariana Islands,EAS,High,60955.7265625,54036
Mozambique,SSF,Low,1217.0902099609375,27212382
Mauritania,SSF,Lower Middle,4783.6357421875,3506288
Mauritius,SSF,Upper Middle,20646.93359375,1263473
Malawi,SSF,Low,999.4413452148436,16577147
Malaysia,EAS,Upper Middle,23906.265625,30228016
Namibia,SSF,Upper Middle,6152.9873046875,1559983
New Caledonia,EAS,High,57330.203125,278000
Niger,SSF,Low,1038.22412109375,8842415
Nigeria,SSF,Lower Middle,4690.37939453125,154402176
Nicaragua,LCN,Lower Middle,4611.84033203125,5737723
Netherlands,ECS,High,56849.375,17332850
Norway,ECS,High,64962.26171875,5347896
Nepal,SAS,Low,2902.249267578125,28982772
Nauru,EAS,Upper Middle,11167.3193359375,13049
New Zealand,EAS,High,41857.4765625,4692700
Oman,MEA,High,30535.833984375,3960925
Pakistan,SAS,Lower Middle,4571.41455078125,193203472
Panama,LCN,High,28436.359375,3969249
Peru,LCN,Upper Middle,11877.083984375,30973354
Philippines,EAS,Lower Middle,7705.04541015625,103320224
Palau,EAS,High,18275.025390625,21503
Papua New Guinea,EAS,Lower Middle,3912.381103515625,7755785
Poland,ECS,High,33221.54296875,37970872
Puerto Rico,LCN,High,34311.03125,3473181
Portugal,ECS,High,34961.9453125,10269417
Paraguay,LCN,Upper Middle,11810.427734375,6639119
West Bank and Gaza,MEA,Lower Middle,5985.68310546875,4046901
French Polynesia,EAS,High,60955.7265625,273528
Qatar,MEA,High,96261.6640625,2109568
Romania,ECS,Upper Middle,29983.556640625,19356544
